nome	concello	parroquia	lugar	id_ipaga	cod_impres	tipoloxia	xenerico	ficha	x	y	lon_wgs84	lat_wgs84	observacio
Mámoa de Moimentos 2	San Sadurniño	Santa Mariña do Monte (Santa Mariña)	Vilares	GA15076011	San Sadurniño_20231		-	-	572111	4823321	-8.107158272136543	43.55935889663439	SI.2020.100.INV: Corrixida localización e codificación. Narón/San Sadurniño
Mámoa de Pena Escrita	San Sadurniño	Lamas (San Xiao)	Seara	GA15076002	San Sadurniño_20232		-	-	578049	4823965	-8.033552435280814	43.564559061061054	
Mámoa do Campo da Cruz 1	San Sadurniño	Igrexafeita (Santa María)	A Ermida	GA15076013	San Sadurniño_20233		-	-	581128	4814438	-7.996851829095892	43.4784621474376	
Pena Ferreira	San Sadurniño	Ferreira (San Paio)	O Pico de Ferreira	GA15076016	San Sadurniño_20239		-	-	578953	4819543	-8.02300517128803	43.524657858461275	
Casa reitoral de San Vicente de Meirás	Valdoviño	Meirás (San Vicente)	Penela, A	-	Valdoviño_25017		-	Meirás – 2	565161	4825955	-8.192879528717965	43.583714130263665	
Castro	Valdoviño	Vilarrube (San Martiño)	Castro	GA15087008	Valdoviño_25023	Castro	-	Arqueoloxía - 08	575352	4830760	-8.066000016189715	43.62601595138847	
Castro da Punta do Vico	Valdoviño	Valdoviño (Santaia)	Ladeira, A	GA15087022	Valdoviño_25024	Castro	-	-	568766	4830278	-8.147683735016127	43.62230830936563	
Castro de Aviño	Valdoviño	Valdoviño (Santaia)	Casas Novas, As	GA15087012	Valdoviño_25025	Castro	-	Arqueoloxía - 12	569977	4826051	-8.133215420002537	43.58414054293756	Elemento desprazado 80 m no POL con respecto a localización no planeamento
Castro de Carreira de Abaixo	Valdoviño	O Sequeiro (Santa María)	Chousa, A	GA15087016	Valdoviño_25026	Castro	-	Arqueoloxía - 16	566618	4823046	-8.175190518498438	43.55739167363033	
Castro de Casianes	Valdoviño	Pantín (Santiago)	Casianes	GA15087007	Valdoviño_25027	Castro	-	Arqueoloxía - 07	572701	4831634	-8.09873394334149	43.6341480312583	
Castro de Coto Redondo	Valdoviño	Pantín (Santiago)	Gabeira, A	GA15087003	Valdoviño_25028	Castro	-	Arqueoloxía - 03	571748	4832701	-8.110405528230721	43.64384397902806	
Castro de Crecente	Valdoviño	Loira (San Pedro)	Furada, A	GA15087013	Valdoviño_25029	Castro	-	Arqueoloxía - 13	573183	4827409	-8.093326577375208	43.59606386925918	
Castro de Lagoa	Valdoviño	Pantín (Santiago)	Castro, O	GA15087004	Valdoviño_25030	Castro	-	Arqueoloxía - 04	571039	4831312	-8.119373302895987	43.63140985564435	Elemento desprazado 70 m no POL con respecto a localización no planeamento
Castro de Lodeiro	Valdoviño	O Sequeiro (Santa María)	Lodeiro, O	GA15087015	Valdoviño_25031	Castro	-	Arqueoloxía - 15	567011	4825106	-8.170071095103031	43.57590727862178	Elemento desprazado 83 m no POL con respecto a localización no planeamento
Castro de Lousada	Valdoviño	Loira (San Pedro)	Lousada	GA15087024	Valdoviño_25032	Castro	-	-	573483	4829951	-8.08926923552419	43.61891345626826	
Castro de Poulo	Valdoviño	Valdoviño (Santaia)	Piñeiros	GA15087010	Valdoviño_25033	Castro	-	Arqueoloxía - 10	569187	4828236	-8.142725393719834	43.603889598179116	
Castro de Punta Frouxeira	Valdoviño	Valdoviño (Santaia)	Saíña, A	GA15087009	Valdoviño_25034	Castro	-	Arqueoloxía - 09	568674	4829852	-8.148872875517807	43.618480398789906	
Castro de Punta Taraza	Valdoviño	Meirás (San Vicente)	Lavacerido	GA15087001	Valdoviño_25035	Castro	-	Arqueoloxía - 01	564670	4827998	-8.198712287595123	43.60215405961929	
Castro de Vidueiros	Valdoviño	Vilaboa (San Vicente)	Morgadelle	GA15087014	Valdoviño_25036	Castro	-	Arqueoloxía - 14	576837	4827643	-8.04803489861526	43.597800467565406	
Castro de Vilarrube/Os Castros de Ferreirías	Valdoviño	Pantín (Santiago)	Frádegas	GA15087006	Valdoviño_25037	Castro	-	Arqueoloxía - 06	573733	4831989	-8.08589185535877	43.637237042304854	
Castro e Mina do Pereiro	Valdoviño	Valdoviño (Santaia)	Pereiro, O	GA15087023	Valdoviño_25038	Castro	-	-	569717	4829937	-8.135936419804226	43.61914947103172	
